b1,b2,b3,b4,b5,b6,b7,b8
21.06365857,5.566228355,5.205155963,6.829647789,22.84657126,19.268936,12.80169005,105.8697862
18.94024515,5.994387695,6.220423191,8.740922729,14.71424247,10.99665953,11.01522795,78.58531753
15.55822608,9.298363104,8.533171899,22.73968263,20.00618278,8.694163743,11.57579779,81.54543519
25.3440397,16.18677858,13.96827416,37.68525766,30.28564619,13.31359473,16.73905662,86.64983413
38.47718756,23.3957772,17.18580654,52.43987258,37.26098166,25.0703659,20.47868473,86.26906793
46.81806175,20.3295423,7.700709238,22.50720653,36.87727047,28.50977103,20.70878938,49.81948596
62.79751218,26.21648394,16.19067092,30.89135397,57.83737536,38.44966847,26.3321166,66.21935169
74.79079304,36.0559842,20.33757861,56.21152913,63.09292909,42.8128766,36.21043027,107.5776878
106.8964267,45.33817444,26.56489728,66.86428627,86.0133881,54.57834045,29.81004844,158.5620405
117.0078051,66.19957686,27.57539818,66.02820804,92.95130183,61.28311944,30.5487162,157.350208
130.182539,52.06387396,22.45699212,77.76063967,103.2566912,69.19361606,35.53809337,183.1871739
297.8416605,215.6128026,73.08657249,251.8704062,268.0907969,176.6269313,112.7938761,644.5645138
270.8901399,185.8722119,69.0439948,245.7622152,217.5598277,149.8159221,105.738612,566.2030741
231.7766544,192.5470831,68.83973959,234.3805769,208.762725,152.6855599,99.70370596,519.0326738
230.5540375,183.2389028,66.15992819,222.1890545,183.9669581,118.2597905,95.09086681,556.8433452
240.4384356,169.3373073,66.05196792,198.0964006,182.8476108,119.1561639,97.63264803,504.9514382
261.2061285,153.8830574,56.08196338,189.9941161,178.1639846,117.1547474,108.729308,439.5360899
370.3296323,141.0113668,50.46577325,181.2869631,171.4008286,131.8903927,131.4041749,459.2786814
314.352418,110.6280066,39.61164957,147.5544834,192.3409264,143.0258248,138.1714158,644.9908698
286.1518375,101.0397648,33.83797636,114.385387,205.7426761,144.5818581,139.0022408,612.0225675
275.8244707,95.83066474,34.41022089,110.9229867,192.9004103,140.7775316,133.7790916,616.0595473
263.0098247,91.68206871,34.99197523,119.3860288,153.8491921,109.631192,137.0464932,588.6653506
230.7457964,103.071709,34.99957484,129.8521291,182.0699195,111.3811588,139.8874382,564.0111257
253.8243705,151.2660222,40.48761246,172.5980777,159.9229806,103.3849602,159.3018667,590.7285314
227.8875554,155.0835975,34.34426796,147.6978669,194.814341,126.8490776,148.2012248,586.3440018
186.4110513,145.3165327,29.6256684,140.586983,188.2293382,110.2856002,141.7842439,560.3214617
150.4912691,129.1936006,31.1488109,127.6553496,229.6720409,113.0220135,127.2619763,521.7903722
177.3951751,139.2370926,35.43600602,123.808937,264.1218778,122.4480707,125.5108923,515.4661364
223.4634641,164.3559052,44.0385523,156.4051312,302.0613727,148.1046561,122.9787512,537.3641193
205.6422742,129.5911423,39.16444523,146.9276607,230.2401017,111.4225253,78.84984507,355.067949
299.110958,138.6577208,39.12634221,168.7468526,258.8561087,135.6016704,83.39015762,427.0805838
314.4793748,151.3852414,41.03945238,175.024444,279.7264883,157.7839656,88.67439665,484.7736211
297.8515047,149.9478665,43.31322927,170.1236545,283.2462276,156.4908805,93.30274318,509.0909483
260.5338143,143.672548,42.71061892,162.1044116,278.793899,162.8897761,96.57428056,530.5983664
246.7466792,147.6633658,47.05283677,192.7609685,248.4314617,148.9263911,97.19081675,565.3385134
