b1,b2,b3,b4,b5,b6,b7,b8
95.9053362,56.01056598,19.29128032,66.35592906,128.9275685,66.8339001,28.2950936,138.9520198
93.39230407,52.97544254,27.8329157,70.90122261,127.0722343,59.75948096,42.35987479,175.9988384
89.87207061,49.84806758,31.51319558,79.45465426,130.2242414,61.54698925,40.00498724,257.9092635
73.23123994,50.3579604,31.45912727,85.34166758,116.2348911,59.97774292,49.37889326,275.3767496
69.88053906,53.52831663,25.86787668,68.81318483,96.08243613,47.04093657,54.23033248,358.5137194
70.76340576,48.3004047,24.85801964,60.31393576,106.4360268,53.62002676,61.30462835,402.8811761
0.907215269,4.348602017,1.089779527,9.141586204,1.161228188,1.752307406,0.897147183,4.608554162
6.672000139,8.279863942,1.155723329,10.64285913,9.780824226,4.907368175,3.068584696,16.78763251
11.02378107,7.576538043,2.471658571,7.803454593,14.31507272,7.312227701,6.534757475,62.55193741
10.52803383,6.194717307,3.849598925,8.232650261,15.20826188,9.680694273,10.33471452,124.9411625
12.72472546,6.855415344,5.15211399,9.347396903,20.5707502,14.13831022,19.30925378,181.5640584
21.95046985,10.7921338,6.829881883,14.6422059,30.25542904,18.14036207,22.93764895,228.5651241
0.923346681,0.28013948,0.086842558,0.874021959,0.722405562,0.468533235,2.21191417,55.36990589
6.532589112,1.508540316,0.670772108,2.860867852,5.954032237,4.013818593,7.129608343,69.36997356
13.51740175,2.083988769,1.67237033,4.433078191,16.04694219,6.179381948,16.0492731,98.86304284
26.63042177,3.95960966,4.045530679,7.546005335,27.76252082,11.86380321,28.10682503,139.0287111
47.29425653,9.185509686,8.643275204,16.36791174,55.4356568,22.59998083,37.13025105,193.9759867
73.53293793,18.28434266,15.44666992,30.70979589,96.37820894,50.82114008,48.85094413,221.818665
70.86583932,24.81422493,8.379408315,22.35063779,92.31539069,56.89659628,25.50957762,94.54133032
113.2061526,36.79257249,11.86113144,40.42621207,166.5074993,82.84478187,43.79450117,123.6428869
144.9226562,52.12169413,16.76187288,56.23524533,223.196311,120.8077536,59.40247922,147.331517
158.6604049,69.46350454,22.26641205,78.43185878,215.4935684,110.7546935,60.12126839,180.6280626
168.8191635,78.52292716,26.09165595,92.60773369,184.0467841,109.29451,64.35112548,205.7199597
147.6634429,81.85457259,28.25354091,87.70901474,183.9386148,118.303863,65.0574255,227.8551559
181.1875036,72.71473503,29.24641678,210.8431858,171.2879003,115.9955066,26.06106391,123.0117112
122.5167125,115.1857605,27.48156993,244.927196,92.73143656,115.9956973,15.10298504,198.4824192
92.23788269,122.327601,32.21807905,233.3877438,70.29655906,94.53412285,12.16142824,196.7786133
108.2054732,132.0971613,35.68848281,243.2938046,57.41162068,98.83075514,11.81205332,197.8471603
158.0906127,126.9424996,38.01901919,245.8104929,44.59862911,78.74046883,10.81033391,213.2751332
189.9645062,122.5962193,35.42492419,214.271563,44.31905893,88.59269115,9.127377718,200.0086202
55.64780278,13.82829354,7.438169184,31.74964732,8.848654522,6.796142768,1.867458743,14.19737109
68.196759,12.47619364,7.725389823,36.86461945,21.24859979,29.29746337,4.029594785,38.54082347
68.44148223,12.18979184,7.273920202,40.98222295,26.84198202,43.65572604,6.572875271,55.55207122
67.8190029,13.72619508,7.612941243,42.7875716,29.88517483,47.0636007,10.37018924,97.28882336
77.7801429,14.59988222,7.474289602,50.94095451,37.03838187,56.6269292,14.38180016,133.2010623
94.84794055,17.13318902,7.791252798,61.70241972,44.57418349,60.81121873,17.49560106,160.6220911
414.2223157,127.1764584,59.5754585,241.5271915,211.4963212,248.1871137,151.8662447,689.5780839
322.9676608,121.9190572,47.24746356,185.171787,190.853301,165.7928649,110.4914471,463.2141474
252.7059718,124.0732411,38.31189157,145.2436196,223.9646967,134.6930394,94.32002276,252.6978849
277.4659212,159.0867174,49.80162425,150.1144957,282.3960006,155.7822768,92.94017928,180.8528632
312.8363238,222.0835721,57.09699177,181.3002851,310.3632893,176.4193124,87.8038822,156.4106767
328.9216555,263.7170426,67.0462718,198.2318817,336.9732608,203.2834016,75.46069851,145.0269494
90.04261361,17.91873536,9.666880309,30.62442833,97.28250153,51.67430822,19.38565589,41.41722587
