year,local_day,LOCAL_HOUR_END,tot_solar_mwh,_FREQ_
2018,8-Jan-18,20,,
2018,8-Jan-18,21,,
2018,8-Jan-18,22,,
2018,8-Jan-18,23,,
2018,8-Jan-18,24,,
2018,9-Jan-18,1,,
2018,9-Jan-18,2,,
2018,9-Jan-18,3,,
2018,9-Jan-18,4,,
2018,9-Jan-18,5,,
2018,9-Jan-18,6,,
2018,9-Jan-18,7,0.396,6
2018,9-Jan-18,8,2.332,208
2018,9-Jan-18,9,47.227,463
2018,9-Jan-18,10,179.509,551
2018,9-Jan-18,11,291.778,592
2018,9-Jan-18,12,311.915,607
2018,9-Jan-18,13,287.605,608
2018,9-Jan-18,14,253.052,600
2018,9-Jan-18,15,180.671,571
2018,9-Jan-18,16,67.403,525
2018,9-Jan-18,17,3.558,366
2018,9-Jan-18,18,,
2018,9-Jan-18,19,,
2018,9-Jan-18,20,,
2018,9-Jan-18,21,,
2018,9-Jan-18,22,,
2018,9-Jan-18,23,,
2018,9-Jan-18,24,,
2018,10-Jan-18,1,,
2018,10-Jan-18,2,,
2018,10-Jan-18,3,,
2018,10-Jan-18,4,,
2018,10-Jan-18,5,,
2018,10-Jan-18,6,,
2018,10-Jan-18,7,0.406,6
2018,10-Jan-18,8,12.756,442
2018,10-Jan-18,9,130.052,550
2018,10-Jan-18,10,315.774,607
2018,10-Jan-18,11,450.354,651
2018,10-Jan-18,12,511.193,669
2018,10-Jan-18,13,514.817,678
2018,10-Jan-18,14,447.017,659
2018,10-Jan-18,15,293.099,611
2018,10-Jan-18,16,99.62,551
2018,10-Jan-18,17,4.722,397
2018,10-Jan-18,18,,
2018,10-Jan-18,19,,
2018,10-Jan-18,20,,
2018,10-Jan-18,21,,
2018,10-Jan-18,22,,
2018,10-Jan-18,23,,
2018,10-Jan-18,24,,
2018,11-Jan-18,1,,
2018,11-Jan-18,2,,
2018,11-Jan-18,3,,
2018,11-Jan-18,4,,
2018,11-Jan-18,5,,
2018,11-Jan-18,6,,
2018,11-Jan-18,7,0.369,6
2018,11-Jan-18,8,11.028,458
2018,11-Jan-18,9,71.839,546
2018,11-Jan-18,10,152.345,580
2018,11-Jan-18,11,188.713,608
2018,11-Jan-18,12,157.99,602
2018,11-Jan-18,13,122.974,591
2018,11-Jan-18,14,110.577,588
2018,11-Jan-18,15,85.34,566
2018,11-Jan-18,16,32.373,545
2018,11-Jan-18,17,1.257,236
2018,11-Jan-18,18,,
2018,11-Jan-18,19,,
2018,11-Jan-18,20,,
2018,11-Jan-18,21,,
2018,11-Jan-18,22,,
2018,11-Jan-18,23,,
2018,11-Jan-18,24,,
2018,12-Jan-18,1,,
2018,12-Jan-18,2,,
2018,12-Jan-18,3,,
2018,12-Jan-18,4,,
2018,12-Jan-18,5,,
2018,12-Jan-18,6,,
2018,12-Jan-18,7,0.429,6
2018,12-Jan-18,8,3.932,316
2018,12-Jan-18,9,29.163,547
2018,12-Jan-18,10,66.846,587
2018,12-Jan-18,11,100.142,611
2018,12-Jan-18,12,106.798,615
2018,12-Jan-18,13,81.288,586
2018,12-Jan-18,14,60.148,576
2018,12-Jan-18,15,28.311,559
2018,12-Jan-18,16,8.317,513
2018,12-Jan-18,17,0.391,40
2018,12-Jan-18,18,,
2018,12-Jan-18,19,,
2018,12-Jan-18,20,,
2018,12-Jan-18,21,,
2018,12-Jan-18,22,,
2018,12-Jan-18,23,,
2018,12-Jan-18,24,,
2018,13-Jan-18,1,,
2018,13-Jan-18,2,,
2018,13-Jan-18,3,,
2018,13-Jan-18,4,,
2018,13-Jan-18,5,,
2018,13-Jan-18,6,,
2018,13-Jan-18,7,0.318,6
2018,13-Jan-18,8,1.068,172
2018,13-Jan-18,9,19.808,549
2018,13-Jan-18,10,71.151,624
2018,13-Jan-18,11,221.558,727
2018,13-Jan-18,12,435.571,841
2018,13-Jan-18,13,544.159,859
2018,13-Jan-18,14,491.256,848
2018,13-Jan-18,15,324.614,794
2018,13-Jan-18,16,113.55,638
2018,13-Jan-18,17,6.708,445
2018,13-Jan-18,18,,
2018,13-Jan-18,19,,
2018,13-Jan-18,20,,
2018,13-Jan-18,21,,
2018,13-Jan-18,22,,
2018,13-Jan-18,23,,
2018,13-Jan-18,24,,
2018,14-Jan-18,1,,
2018,14-Jan-18,2,,
2018,14-Jan-18,3,,
2018,14-Jan-18,4,,
2018,14-Jan-18,5,,
