year,local_day,local_hour_end,tot_wind_mwh,_FREQ_
2018,7-Jan-18,02,800.116,42
2018,7-Jan-18,03,805.925,42
2018,7-Jan-18,04,773.66,42
2018,7-Jan-18,05,747.486,42
2018,7-Jan-18,06,723.769,39
2018,7-Jan-18,07,687.87,39
2018,7-Jan-18,08,707.321,37
2018,7-Jan-18,09,652.897,42
2018,7-Jan-18,10,611.682,40
2018,7-Jan-18,11,564.242,40
2018,7-Jan-18,12,576.992,36
2018,7-Jan-18,13,552.734,37
2018,7-Jan-18,14,478.331,37
2018,7-Jan-18,15,422.217,36
2018,7-Jan-18,16,315.905,36
2018,7-Jan-18,17,325.364,37
2018,7-Jan-18,18,382.75,39
2018,7-Jan-18,19,442.048,40
2018,7-Jan-18,20,491.86,39
2018,7-Jan-18,21,501.78,40
2018,7-Jan-18,22,441.104,40
2018,7-Jan-18,23,393.349,40
2018,7-Jan-18,24,384.863,42
2018,8-Jan-18,01,411.31,42
2018,8-Jan-18,02,402.902,43
2018,8-Jan-18,03,399.254,42
2018,8-Jan-18,04,364.794,42
2018,8-Jan-18,05,353.935,40
2018,8-Jan-18,06,338.508,40
2018,8-Jan-18,07,321.195,41
2018,8-Jan-18,08,272.19,42
2018,8-Jan-18,09,284.674,44
2018,8-Jan-18,10,296.338,46
2018,8-Jan-18,11,336.298,45
2018,8-Jan-18,12,315.945,47
2018,8-Jan-18,13,303.825,49
2018,8-Jan-18,14,356.992,50
2018,8-Jan-18,15,401.127,50
2018,8-Jan-18,16,476.268,53
2018,8-Jan-18,17,556.899,51
2018,8-Jan-18,18,608.926,48
2018,8-Jan-18,19,619.406,47
2018,8-Jan-18,20,575.118,45
2018,8-Jan-18,21,594.14,45
2018,8-Jan-18,22,629.262,47
2018,8-Jan-18,23,603.596,46
2018,8-Jan-18,24,533.783,43
2018,9-Jan-18,01,529.486,44
2018,9-Jan-18,02,485.105,44
2018,9-Jan-18,03,434.631,44
2018,9-Jan-18,04,405.458,44
2018,9-Jan-18,05,491.565,46
2018,9-Jan-18,06,515.479,48
2018,9-Jan-18,07,522.199,46
2018,9-Jan-18,08,590.769,47
2018,9-Jan-18,09,643.829,48
2018,9-Jan-18,10,665.326,50
2018,9-Jan-18,11,715.415,54
2018,9-Jan-18,12,801.672,55
2018,9-Jan-18,13,909.042,56
2018,9-Jan-18,14,980.923,53
2018,9-Jan-18,15,965.845,56
2018,9-Jan-18,16,953.014,56
2018,9-Jan-18,17,948.498,59
2018,9-Jan-18,18,931.596,54
2018,9-Jan-18,19,973.701,54
2018,9-Jan-18,20,966.895,53
2018,9-Jan-18,21,913.236,52
2018,9-Jan-18,22,870.314,52
2018,9-Jan-18,23,889.914,49
2018,9-Jan-18,24,880.586,51
2018,10-Jan-18,01,748.311,50
2018,10-Jan-18,02,666.18,52
2018,10-Jan-18,03,634.273,50
2018,10-Jan-18,04,623.802,49
2018,10-Jan-18,05,540.657,47
2018,10-Jan-18,06,529.648,46
2018,10-Jan-18,07,465.08,42
2018,10-Jan-18,08,501.237,36
2018,10-Jan-18,09,484.012,32
2018,10-Jan-18,10,418.721,27
2018,10-Jan-18,11,293.21,33
2018,10-Jan-18,12,162.395,38
2018,10-Jan-18,13,132.452,36
2018,10-Jan-18,14,115.995,41
2018,10-Jan-18,15,114.258,44
2018,10-Jan-18,16,150.536,46
2018,10-Jan-18,17,269.773,49
2018,10-Jan-18,18,405.086,48
2018,10-Jan-18,19,549.844,51
2018,10-Jan-18,20,689.81,52
2018,10-Jan-18,21,712.113,52
2018,10-Jan-18,22,711.335,52
2018,10-Jan-18,23,737.634,54
2018,10-Jan-18,24,735.803,53
2018,11-Jan-18,01,716.983,53
2018,11-Jan-18,02,749.054,54
2018,11-Jan-18,03,722.63,54
2018,11-Jan-18,04,697.892,53
2018,11-Jan-18,05,635.759,51
2018,11-Jan-18,06,659.228,50
2018,11-Jan-18,07,663.783,50
2018,11-Jan-18,08,686.696,50
2018,11-Jan-18,09,694.542,50
2018,11-Jan-18,10,688.643,52
2018,11-Jan-18,11,671.256,52
2018,11-Jan-18,12,646.692,52
2018,11-Jan-18,13,631.707,52
2018,11-Jan-18,14,639.264,51
2018,11-Jan-18,15,599.143,51
2018,11-Jan-18,16,650.834,52
2018,11-Jan-18,17,719.898,52
2018,11-Jan-18,18,765.378,53
2018,11-Jan-18,19,790.655,53
2018,11-Jan-18,20,711.809,51
2018,11-Jan-18,21,761.614,52
2018,11-Jan-18,22,806.464,53
2018,11-Jan-18,23,759.054,54
2018,11-Jan-18,24,737.231,54
2018,12-Jan-18,01,837.416,52
2018,12-Jan-18,02,845.692,51
2018,12-Jan-18,03,824.198,50
2018,12-Jan-18,04,817.407,50
2018,12-Jan-18,05,837.435,51
2018,12-Jan-18,06,848.128,53
2018,12-Jan-18,07,861.327,52
2018,12-Jan-18,08,883.403,55
2018,12-Jan-18,09,871.989,56
2018,12-Jan-18,10,820.23,56
2018,12-Jan-18,11,814.23,56
2018,12-Jan-18,12,856.82,57
2018,12-Jan-18,13,829.132,56
2018,12-Jan-18,14,838.326,55
2018,12-Jan-18,15,860.827,55
2018,12-Jan-18,16,872.545,55
2018,12-Jan-18,17,803.253,55
2018,12-Jan-18,18,755.296,55
2018,12-Jan-18,19,752.106,55
2018,12-Jan-18,20,743.466,53
2018,12-Jan-18,21,722.801,53
2018,12-Jan-18,22,646.875,52
2018,12-Jan-18,23,642.636,51
2018,12-Jan-18,24,642.651,53
2018,13-Jan-18,01,522.586,52
2018,13-Jan-18,02,413.22,48
2018,13-Jan-18,03,463.735,49
2018,13-Jan-18,04,398.582,46
2018,13-Jan-18,05,316.504,45
2018,13-Jan-18,06,278.351,48
2018,13-Jan-18,07,235.172,52
2018,13-Jan-18,08,256.619,53
2018,13-Jan-18,09,305.365,51
2018,13-Jan-18,10,249.305,54
2018,13-Jan-18,11,305.939,51
2018,13-Jan-18,12,328.353,54
2018,13-Jan-18,13,381.688,54
2018,13-Jan-18,14,393.418,51
2018,13-Jan-18,15,405.193,50
2018,13-Jan-18,16,346.402,46
2018,13-Jan-18,17,302.654,43
2018,13-Jan-18,18,292.341,43
2018,13-Jan-18,19,286.602,42
2018,13-Jan-18,20,257.321,43
2018,13-Jan-18,21,277.329,42
2018,13-Jan-18,22,264.746,43
2018,13-Jan-18,23,248.453,41
2018,13-Jan-18,24,239.03,40
2018,14-Jan-18,01,233.014,40
2018,14-Jan-18,02,229.134,40
2018,14-Jan-18,03,242.806,36
2018,14-Jan-18,04,211.263,36
2018,14-Jan-18,05,202.454,37
2018,14-Jan-18,06,215.003,35
2018,14-Jan-18,07,203.664,35
2018,14-Jan-18,08,222.085,35
2018,14-Jan-18,09,201.488,34
2018,14-Jan-18,10,126.711,37
2018,14-Jan-18,11,103.169,32
2018,14-Jan-18,12,90.269,32
2018,14-Jan-18,13,95.897,36
2018,14-Jan-18,14,82.387,34
2018,14-Jan-18,15,74.799,33
2018,14-Jan-18,16,82.773,31
2018,14-Jan-18,17,114.743,31
2018,14-Jan-18,18,164.469,34
2018,14-Jan-18,19,204.559,33
2018,14-Jan-18,20,190.266,33
2018,14-Jan-18,21,149.75,35
2018,14-Jan-18,22,127.464,36
2018,14-Jan-18,23,116.206,36
2018,14-Jan-18,24,101.547,31
2018,15-Jan-18,01,123.737,33
2018,15-Jan-18,02,117.027,35
2018,15-Jan-18,03,109.869,34
2018,15-Jan-18,04,119.45,35
2018,15-Jan-18,05,115.569,36
2018,15-Jan-18,06,96.536,35
2018,15-Jan-18,07,114.591,37
2018,15-Jan-18,08,163.183,38
2018,15-Jan-18,09,148.015,38
2018,15-Jan-18,10,112.761,36
2018,15-Jan-18,11,95.816,33
2018,15-Jan-18,12,97.043,32
2018,15-Jan-18,13,91.922,36
2018,15-Jan-18,14,100.711,35
2018,15-Jan-18,15,101.272,35
2018,15-Jan-18,16,109.537,32
2018,15-Jan-18,17,137.695,35
2018,15-Jan-18,18,148.514,35
2018,15-Jan-18,19,175.458,36
2018,15-Jan-18,20,157.17,37
2018,15-Jan-18,21,135.789,35
2018,15-Jan-18,22,120.153,31
2018,15-Jan-18,23,101.958,28
2018,15-Jan-18,24,84.012,26
2018,16-Jan-18,01,73.31,26
2018,16-Jan-18,02,73.6,26
2018,16-Jan-18,03,52.499,25
2018,16-Jan-18,04,54.025,27
2018,16-Jan-18,05,38.609,25
2018,16-Jan-18,06,29.905,21
2018,16-Jan-18,07,34.227,19
2018,16-Jan-18,08,45.653,21
2018,16-Jan-18,09,26.448,18
2018,16-Jan-18,10,15.375,13
2018,16-Jan-18,11,15.029,18
2018,16-Jan-18,12,16.403,20
2018,16-Jan-18,13,16.414,20
2018,16-Jan-18,14,11.463,25
2018,16-Jan-18,15,6.81,25
2018,16-Jan-18,16,4.573,17
2018,16-Jan-18,17,5.437,15
2018,16-Jan-18,18,15.101,17
2018,16-Jan-18,19,25.724,23
2018,16-Jan-18,20,23.863,23
2018,16-Jan-18,21,21.644,23
2018,16-Jan-18,22,19.52,22
2018,16-Jan-18,23,29.574,25
2018,16-Jan-18,24,38.337,26
2018,17-Jan-18,01,45.045,30
2018,17-Jan-18,02,47.899,27
2018,17-Jan-18,03,41.467,23
2018,17-Jan-18,04,35.333,20
2018,17-Jan-18,05,31.192,18
2018,17-Jan-18,06,33.604,19
2018,17-Jan-18,07,28.754,18
2018,17-Jan-18,08,42.863,17
2018,17-Jan-18,09,45.526,17
2018,17-Jan-18,10,37.907,18
2018,17-Jan-18,11,25.261,17
2018,17-Jan-18,12,11.876,19
2018,17-Jan-18,13,8.126,20
2018,17-Jan-18,14,10.857,18
2018,17-Jan-18,15,14.078,19
2018,17-Jan-18,16,13.863,18
2018,17-Jan-18,17,20.642,20
2018,17-Jan-18,18,21.432,25
2018,17-Jan-18,19,17.772,25
2018,17-Jan-18,20,14.525,26
2018,17-Jan-18,21,8.226,21
2018,17-Jan-18,22,12.274,32
2018,17-Jan-18,23,24.277,33
2018,17-Jan-18,24,52.61,34
2018,18-Jan-18,01,50.258,33
2018,18-Jan-18,02,62.348,32
2018,18-Jan-18,03,110.526,35
2018,18-Jan-18,04,161.225,37
2018,18-Jan-18,05,185.718,36
2018,18-Jan-18,06,219.862,40
2018,18-Jan-18,07,225.259,40
2018,18-Jan-18,08,272.478,42
2018,18-Jan-18,09,249.75,38
2018,18-Jan-18,10,213.56,36
2018,18-Jan-18,11,230.878,43
2018,18-Jan-18,12,267.329,46
2018,18-Jan-18,13,275.891,47
2018,18-Jan-18,14,288.535,47
2018,18-Jan-18,15,302.226,46
2018,18-Jan-18,16,288.917,45
2018,18-Jan-18,17,302.429,46
2018,18-Jan-18,18,308.14,44
2018,18-Jan-18,19,262.801,44
2018,18-Jan-18,20,285.532,44
2018,18-Jan-18,21,239.809,45
2018,18-Jan-18,22,169.3,44
2018,18-Jan-18,23,203.171,44
2018,18-Jan-18,24,233.451,47
2018,19-Jan-18,01,239.774,45
2018,19-Jan-18,02,227.15,43
2018,19-Jan-18,03,217.345,44
2018,19-Jan-18,04,196.39,44
2018,19-Jan-18,05,157.464,44
2018,19-Jan-18,06,119.192,41
2018,19-Jan-18,07,82.786,40
2018,19-Jan-18,08,76.809,34
2018,19-Jan-18,09,68.77,33
2018,19-Jan-18,10,51.154,32
2018,19-Jan-18,11,42.781,34
2018,19-Jan-18,12,51.74,36
2018,19-Jan-18,13,77.915,34
2018,19-Jan-18,14,69.625,33
2018,19-Jan-18,15,59.282,34
2018,19-Jan-18,16,58.432,34
2018,19-Jan-18,17,74.459,37
2018,19-Jan-18,18,89.203,31
2018,19-Jan-18,19,109.372,39
2018,19-Jan-18,20,163.6,41
2018,19-Jan-18,21,168.007,44
2018,19-Jan-18,22,183.454,46
2018,19-Jan-18,23,186.316,47
2018,19-Jan-18,24,228.377,47
2018,20-Jan-18,01,251.766,49
2018,20-Jan-18,02,299.606,48
2018,20-Jan-18,03,345.548,49
2018,20-Jan-18,04,359.811,48
2018,20-Jan-18,05,307.031,50
2018,20-Jan-18,06,302.796,52
2018,20-Jan-18,07,481.245,51
2018,20-Jan-18,08,516.076,54
2018,20-Jan-18,09,523.765,55
2018,20-Jan-18,10,590.224,55
2018,20-Jan-18,11,648.737,55
2018,20-Jan-18,12,666.763,55
2018,20-Jan-18,13,728.001,56
2018,20-Jan-18,14,810.858,57
2018,20-Jan-18,15,861.136,58
2018,20-Jan-18,16,895.37,57
2018,20-Jan-18,17,912.387,55
2018,20-Jan-18,18,865.682,52
2018,20-Jan-18,19,935.285,53
2018,20-Jan-18,20,938.552,53
2018,20-Jan-18,21,909.143,53
2018,20-Jan-18,22,841.768,53
2018,20-Jan-18,23,730.32,52
2018,20-Jan-18,24,638.154,52
2018,21-Jan-18,01,505.405,50
2018,21-Jan-18,02,538.894,49
2018,21-Jan-18,03,510.462,49
2018,21-Jan-18,04,526.193,49
2018,21-Jan-18,05,556.108,48
2018,21-Jan-18,06,543.82,49
2018,21-Jan-18,07,481.726,46
2018,21-Jan-18,08,451.242,45
2018,21-Jan-18,09,368.73,47
2018,21-Jan-18,10,341.01,49
2018,21-Jan-18,11,338.277,49
2018,21-Jan-18,12,394.177,43
2018,21-Jan-18,13,477.157,40
2018,21-Jan-18,14,496.566,36
2018,21-Jan-18,15,436.163,37
2018,21-Jan-18,16,417.758,32
2018,21-Jan-18,17,382.188,27
2018,21-Jan-18,18,340.657,28
2018,21-Jan-18,19,313.11,30
2018,21-Jan-18,20,287.979,29
2018,21-Jan-18,21,251.954,32
2018,21-Jan-18,22,204.083,36
2018,21-Jan-18,23,135.379,33
2018,21-Jan-18,24,125.443,34
2018,22-Jan-18,01,120.135,34
2018,22-Jan-18,02,103.154,32
2018,22-Jan-18,03,81.305,34
2018,22-Jan-18,04,83.976,35
2018,22-Jan-18,05,73.849,35
2018,22-Jan-18,06,68.826,28
2018,22-Jan-18,07,69.548,29
2018,22-Jan-18,08,86.188,29
2018,22-Jan-18,09,75.166,29
2018,22-Jan-18,10,76.509,32
2018,22-Jan-18,11,58.488,29
2018,22-Jan-18,12,51.048,28
2018,22-Jan-18,13,42.581,33
2018,22-Jan-18,14,47.753,33
2018,22-Jan-18,15,67.275,32
2018,22-Jan-18,16,86.53,30
2018,22-Jan-18,17,91.464,31
2018,22-Jan-18,18,94.425,37
2018,22-Jan-18,19,99.294,37
2018,22-Jan-18,20,138.278,37
2018,22-Jan-18,21,166.315,39
2018,22-Jan-18,22,193.882,35
2018,22-Jan-18,23,213.099,35
2018,22-Jan-18,24,283.562,34
2018,23-Jan-18,01,364.656,30
2018,23-Jan-18,02,353.153,29
2018,23-Jan-18,03,424.537,32
2018,23-Jan-18,04,457.708,32
2018,23-Jan-18,05,492.909,33
2018,23-Jan-18,06,421.12,33
2018,23-Jan-18,07,356.716,36
2018,23-Jan-18,08,311.259,34
2018,23-Jan-18,09,294.758,31
2018,23-Jan-18,10,315.939,34
2018,23-Jan-18,11,401.802,40
2018,23-Jan-18,12,437.607,43
2018,23-Jan-18,13,463.192,47
2018,23-Jan-18,14,475.421,51
2018,23-Jan-18,15,464.27,50
2018,23-Jan-18,16,412.756,52
2018,23-Jan-18,17,385.423,47
2018,23-Jan-18,18,459.653,48
2018,23-Jan-18,19,417.013,48
2018,23-Jan-18,20,393.54,49
2018,23-Jan-18,21,463.224,49
2018,23-Jan-18,22,598.545,51
2018,23-Jan-18,23,699.735,50
2018,23-Jan-18,24,760.42,50
2018,24-Jan-18,01,723.319,48
2018,24-Jan-18,02,693.552,49
2018,24-Jan-18,03,697.475,46
2018,24-Jan-18,04,762.42,51
2018,24-Jan-18,05,760.933,52
2018,24-Jan-18,06,768.579,50
2018,24-Jan-18,07,764.155,49
2018,24-Jan-18,08,761.576,52
2018,24-Jan-18,09,791.933,57
2018,24-Jan-18,10,904.407,58
2018,24-Jan-18,11,961.131,59
2018,24-Jan-18,12,964.411,58
2018,24-Jan-18,13,767.201,58
2018,24-Jan-18,14,929.19,59
2018,24-Jan-18,15,932.916,58
2018,24-Jan-18,16,905.209,57
2018,24-Jan-18,17,920.276,56
2018,24-Jan-18,18,917.793,52
2018,24-Jan-18,19,926.22,51
2018,24-Jan-18,20,895.484,50
2018,24-Jan-18,21,873.739,51
2018,24-Jan-18,22,849.366,50
2018,24-Jan-18,23,852.827,50
2018,24-Jan-18,24,796.746,50
2018,25-Jan-18,01,785.079,47
2018,25-Jan-18,02,772.17,46
2018,25-Jan-18,03,778.907,48
2018,25-Jan-18,04,745.939,48
2018,25-Jan-18,05,815.139,47
2018,25-Jan-18,06,844.591,47
2018,25-Jan-18,07,830.929,48
2018,25-Jan-18,08,830.928,50
2018,25-Jan-18,09,852.741,54
2018,25-Jan-18,10,843.041,56
2018,25-Jan-18,11,850.968,54
2018,25-Jan-18,12,865.709,55
2018,25-Jan-18,13,873.636,57
2018,25-Jan-18,14,920.639,58
2018,25-Jan-18,15,960.071,56
2018,25-Jan-18,16,961.293,57
2018,25-Jan-18,17,967.229,55
2018,25-Jan-18,18,968.452,52
2018,25-Jan-18,19,952.59,50
2018,25-Jan-18,20,953.987,50
2018,25-Jan-18,21,965.987,52
2018,25-Jan-18,22,961.351,48
2018,25-Jan-18,23,925.499,49
2018,25-Jan-18,24,887.903,50
2018,26-Jan-18,01,941.159,50
2018,26-Jan-18,02,934.984,50
2018,26-Jan-18,03,899.622,49
2018,26-Jan-18,04,889.492,47
2018,26-Jan-18,05,860.128,49
2018,26-Jan-18,06,817.256,46
2018,26-Jan-18,07,789.529,46
2018,26-Jan-18,08,795.277,49
2018,26-Jan-18,09,774.385,50
2018,26-Jan-18,10,647.94,49
2018,26-Jan-18,11,536.849,45
2018,26-Jan-18,12,443.151,43
2018,26-Jan-18,13,339.091,41
2018,26-Jan-18,14,259.8,40
2018,26-Jan-18,15,168.791,29
2018,26-Jan-18,16,125.323,31
2018,26-Jan-18,17,104.083,33
2018,26-Jan-18,18,191.842,35
2018,26-Jan-18,19,219.309,39
2018,26-Jan-18,20,223.63,43
2018,26-Jan-18,21,246.696,47
2018,26-Jan-18,22,298.061,48
